lat, lng, cleanRent, cleanBeds, listingDate
47.72828,-122.34764,1735.0,2.0,2016-10-04
47.61404,-122.34349,1415.0,0.0,2016-10-04
47.64277,-122.11948,1689.0,1.0,2016-10-04
47.70583,-122.21166,2555.0,2.0,2016-10-04
47.4874,-122.19072,1337.0,1.0,2016-10-04
47.66506,-122.37869,1390.0,0.0,2016-10-04
47.66301,-122.32338,1815.0,1.0,2016-10-04
47.61283,-122.318,3180.0,0.0,2016-10-04
47.61112,-122.32344,1400.0,0.0,2016-10-04
47.48762,-122.2198,1175.0,1.0,2016-10-04
47.52676,-122.04302,1979.0,3.0,2016-10-04
47.61112,-122.32344,2500.0,2.0,2016-10-04
47.60532,-122.31801,1595.0,1.0,2016-10-04
47.62055,-122.29865,2095.0,2.0,2016-10-04
47.62338,-122.32102,1601.0,0.0,2016-10-04
38.91911,-77.06007,1709.0,2.0,2016-10-04
47.72828,-122.34764,1710.0,2.0,2016-10-04
47.60725,-122.30387,2500.0,2.0,2016-10-04
47.86643,-122.27259,1515.0,2.0,2016-10-04
47.61676,-122.34622,1850.0,1.0,2016-10-04
,,2115.0,2.0,2016-10-04
,,1755.0,2.0,2016-10-04
,,1550.0,1.0,2016-10-04
,,1500.0,1.0,2016-10-04
,,1425.0,0.0,2016-10-04
,,1742.0,1.0,2016-10-04
,,1125.0,1.0,2016-10-04
,,1563.0,0.0,2016-10-04
,,1350.0,1.0,2016-10-04
,,1551.0,0.0,2016-10-04
,,1888.0,1.0,2016-10-04
,,750.0,1.0,2016-10-04
,,1120.0,2.0,2016-10-04
,,2135.0,1.0,2016-10-04
,,1670.0,3.0,2016-10-04
,,1652.0,0.0,2016-10-04
,,1660.0,3.0,2016-10-04
,,2675.0,2.0,2016-10-04
,,1654.0,2.0,2016-10-04
,,1100.0,2.0,2016-10-04
,,2750.0,1.0,2016-10-04
,,2500.0,2.0,2016-10-04
,,1350.0,1.0,2016-10-04
,,2100.0,1.0,2016-10-04
,,892.0,0.0,2016-10-04
,,1198.0,0.0,2016-10-04
,,1895.0,1.0,2016-10-04
,,1395.0,2.0,2016-10-04
,,1738.0,2.0,2016-10-04
47.4372,-122.196811,1655.0,2.0,2016-10-21
47.855925,-122.214954,1459.0,2.0,2016-10-21
47.236176,-122.555115,1030.0,1.0,2016-10-21
47.760927,-122.243788,1320.0,1.0,2016-10-21
47.058336,-122.757295,1384.0,2.0,2016-10-21
47.286467,-122.361985,1085.0,1.0,2016-10-21
47.619175,-122.338449,2697.0,1.0,2016-10-21
47.220118,-122.494479,1140.0,2.0,2016-10-21
47.236176,-122.555115,1125.0,2.0,2016-10-21
47.236176,-122.555115,1080.0,2.0,2016-10-21
47.236176,-122.555115,1085.0,2.0,2016-10-21
47.619175,-122.338449,4328.0,2.0,2016-10-21
47.619175,-122.338449,2443.0,1.0,2016-10-21
47.675077,-122.104835,1453.0,1.0,2016-10-21
47.619175,-122.338449,4173.0,2.0,2016-10-21
47.236176,-122.555115,1100.0,1.0,2016-10-21
47.236176,-122.555115,1060.0,1.0,2016-10-21
47.236176,-122.555115,1050.0,1.0,2016-10-21
47.577276,-122.408109,3800.0,3.0,2016-10-21
47.587623,-122.312672,3800.0,3.0,2016-10-21
47.676705,-122.119392,1880.0,1.0,2016-10-21
47.121288,-122.522693,675.0,1.0,2016-10-21
47.806501,-122.305933,1668.0,2.0,2016-10-21
47.599225,-122.328914,2550.0,2.0,2016-10-21
47.572006,-122.164794,2066.0,2.0,2016-10-21
47.617328,-122.343789,1750.0,1.0,2016-10-21
47.617257,-122.341526,1950.0,1.0,2016-10-21
47.181828,-122.548478,1210.0,2.0,2016-10-21
47.236176,-122.555115,1170.0,2.0,2016-10-21
47.907685,-122.23038,1185.0,1.0,2016-10-21
47.236176,-122.555115,980.0,1.0,2016-10-21
47.584088,-122.180599,1687.0,1.0,2016-10-21
47.876682,-122.17187,1760.0,2.0,2016-10-21
